PRODUKT_CODE,STATION_ID,ZEITSTEMPEL,WERT,,,,,,,,
TT_TU_MN009,662,201701090800.00,0,,,,,,,,
TT_TU_MN009,662,201701090900.00,0.3,,,,,,,,
TT_TU_MN009,662,201701091000.00,0.6,,,,,,,,
TT_TU_MN009,662,201701091100.00,0.8,,,,,,,,
TT_TU_MN009,662,201701091200.00,1,,,,,,,,
TT_TU_MN009,662,201701091300.00,1,,,,,,,,
TT_TU_MN009,662,201701091400.00,1,,,,,,,,
TT_TU_MN009,662,201701091500.00,0.7,,,,,,,,
TT_TU_MN009,662,201701091600.00,0.6,,,,,,,,
TT_TU_MN009,662,201701091700.00,0.5,,,,,,,,
TT_TU_MN009,662,201701091800.00,0.5,,,,,,,,
TT_TU_MN009,662,201701091900.00,0.7,,,,,,,,
TT_TU_MN009,662,201701092000.00,0.6,,,,,,,,
TT_TU_MN009,662,201701092100.00,0.9,,,,,,,,
TT_TU_MN009,662,201701092200.00,1.1,,,,,,,,
TT_TU_MN009,662,201701092300.00,0.6,,,,,,,,
TT_TU_MN009,662,201701100000.00,0,,,,,,,,
TT_TU_MN009,662,201701100100.00,0.8,,,,,,,,
TT_TU_MN009,662,201701100200.00,1.3,,,,,,,,
TT_TU_MN009,662,201701100300.00,1.6,,,,,,,,
TT_TU_MN009,662,201701100400.00,2.1,,,,,,,,
TT_TU_MN009,662,201701100500.00,1.9,,,,,,,,
TT_TU_MN009,662,201701100600.00,2.4,,,,,,,,
TT_TU_MN009,662,201701100700.00,2.6,,,,,,,,
TT_TU_MN009,662,201701100800.00,2.3,,,,,,,,
TT_TU_MN009,662,201701100900.00,2.5,,,,,,,,
TT_TU_MN009,662,201701101000.00,2.8,,,,,,,,
TT_TU_MN009,662,201701101100.00,2.8,,,,,,,,
TT_TU_MN009,662,201701101200.00,3.1,,,,,,,,
TT_TU_MN009,662,201701101300.00,2.7,,,,,,,,
TT_TU_MN009,662,201701101400.00,2.7,,,,,,,,
TT_TU_MN009,662,201701101500.00,2,,,,,,,,
TT_TU_MN009,662,201701101600.00,1.1,,,,,,,,
TT_TU_MN009,662,201701101700.00,1.5,,,,,,,,
TT_TU_MN009,662,201701101800.00,1.6,,,,,,,,
TT_TU_MN009,662,201701101900.00,1.6,,,,,,,,
TT_TU_MN009,662,201701102000.00,1.5,,,,,,,,
TT_TU_MN009,662,201701102100.00,1.6,,,,,,,,
TT_TU_MN009,662,201701102200.00,1.6,,,,,,,,
TT_TU_MN009,662,201701102300.00,1.8,,,,,,,,
TT_TU_MN009,662,201701110000.00,1.5,,,,,,,,
TT_TU_MN009,662,201701110100.00,1.7,,,,,,,,
TT_TU_MN009,662,201701110200.00,1.7,,,,,,,,
TT_TU_MN009,662,201701110300.00,1.6,,,,,,,,
TT_TU_MN009,662,201701110400.00,1.7,,,,,,,,
TT_TU_MN009,662,201701110500.00,1.8,,,,,,,,
TT_TU_MN009,662,201701110600.00,1.7,,,,,,,,
TT_TU_MN009,662,201701110700.00,1.8,,,,,,,,
TT_TU_MN009,662,201701110800.00,1.8,,,,,,,,
TT_TU_MN009,662,201701110900.00,2.2,,,,,,,,
TT_TU_MN009,662,201701111000.00,2.5,,,,,,,,
TT_TU_MN009,662,201701111100.00,3.3,,,,,,,,
TT_TU_MN009,662,201701111200.00,2.9,,,,,,,,
TT_TU_MN009,662,201701111300.00,2.8,,,,,,,,
TT_TU_MN009,662,201701111400.00,2.6,,,,,,,,
TT_TU_MN009,662,201701111500.00,4.2,,,,,,,,
TT_TU_MN009,662,201701111600.00,4,,,,,,,,
TT_TU_MN009,662,201701111700.00,4.5,,,,,,,,
TT_TU_MN009,662,201701111800.00,3.9,,,,,,,,
TT_TU_MN009,662,201701111900.00,3.7,,,,,,,,
TT_TU_MN009,662,201701112000.00,4.3,,,,,,,,
TT_TU_MN009,662,201701112100.00,4.6,,,,,,,,
TT_TU_MN009,662,201701112200.00,4.5,,,,,,,,
TT_TU_MN009,662,201701112300.00,4.4,,,,,,,,
TT_TU_MN009,662,201701120000.00,4,,,,,,,,
TT_TU_MN009,662,201701120100.00,4.3,,,,,,,,
TT_TU_MN009,662,201701120200.00,4.4,,,,,,,,
TT_TU_MN009,662,201701120300.00,3.2,,,,,,,,
TT_TU_MN009,662,201701120400.00,3.8,,,,,,,,
TT_TU_MN009,662,201701120500.00,4,,,,,,,,
TT_TU_MN009,662,201701120600.00,3.9,,,,,,,,
TT_TU_MN009,662,201701120700.00,3.4,,,,,,,,
TT_TU_MN009,662,201701120800.00,4.1,,,,,,,,
TT_TU_MN009,662,201701120900.00,4.3,,,,,,,,
TT_TU_MN009,662,201701121000.00,4.8,,,,,,,,
TT_TU_MN009,662,201701121100.00,5,,,,,,,,
TT_TU_MN009,662,201701121200.00,5.2,,,,,,,,
TT_TU_MN009,662,201701121300.00,5,,,,,,,,
TT_TU_MN009,662,201701121400.00,5,,,,,,,,
TT_TU_MN009,662,201701121500.00,4.8,,,,,,,,
TT_TU_MN009,662,201701121600.00,4,,,,,,,,
TT_TU_MN009,662,201701121700.00,3.9,,,,,,,,
TT_TU_MN009,662,201701121800.00,3.4,,,,,,,,
TT_TU_MN009,662,201701121900.00,3.2,,,,,,,,
TT_TU_MN009,662,201701122000.00,3.7,,,,,,,,
TT_TU_MN009,662,201701122100.00,3.8,,,,,,,,
TT_TU_MN009,662,201701122200.00,2.9,,,,,,,,
TT_TU_MN009,662,201701122300.00,2.5,,,,,,,,
TT_TU_MN009,662,201701130000.00,1.7,,,,,,,,
TT_TU_MN009,662,201701130100.00,1.1,,,,,,,,
TT_TU_MN009,662,201701130200.00,1.1,,,,,,,,
TT_TU_MN009,662,201701130300.00,1.4,,,,,,,,
TT_TU_MN009,662,201701130400.00,1.9,,,,,,,,
TT_TU_MN009,662,201701130500.00,2.6,,,,,,,,
TT_TU_MN009,662,201701130600.00,2.6,,,,,,,,
TT_TU_MN009,662,201701130700.00,2,,,,,,,,
TT_TU_MN009,662,201701130800.00,0.7,,,,,,,,
TT_TU_MN009,662,201701130900.00,0.2,,,,,,,,
TT_TU_MN009,662,201701131000.00,0.5,,,,,,,,
TT_TU_MN009,662,201701131100.00,0.9,,,,,,,,
TT_TU_MN009,662,201701131200.00,1.6,,,,,,,,
TT_TU_MN009,662,201701131300.00,2.2,,,,,,,,
TT_TU_MN009,662,201701131400.00,2.1,,,,,,,,
TT_TU_MN009,662,201701131500.00,1.9,,,,,,,,
TT_TU_MN009,662,201701131600.00,2,,,,,,,,
TT_TU_MN009,662,201701131700.00,1.7,,,,,,,,
TT_TU_MN009,662,201701131800.00,1.2,,,,,,,,
TT_TU_MN009,662,201701131900.00,1.1,,,,,,,,
TT_TU_MN009,662,201701132000.00,0.8,,,,,,,,
TT_TU_MN009,662,201701132100.00,1.1,,,,,,,,
TT_TU_MN009,662,201701132200.00,0.4,,,,,,,,
TT_TU_MN009,662,201701132300.00,0.3,,,,,,,,
TT_TU_MN009,662,201701140000.00,0.2,,,,,,,,
TT_TU_MN009,662,201701140100.00,0.8,,,,,,,,
TT_TU_MN009,662,201701140200.00,1.7,,,,,,,,
TT_TU_MN009,662,201701140300.00,2.3,,,,,,,,
TT_TU_MN009,662,201701140400.00,1.9,,,,,,,,
TT_TU_MN009,662,201701140500.00,1,,,,,,,,
TT_TU_MN009,662,201701140600.00,1.2,,,,,,,,
TT_TU_MN009,662,201701140700.00,1.2,,,,,,,,
TT_TU_MN009,662,201701140800.00,1.4,,,,,,,,
TT_TU_MN009,662,201701140900.00,1.5,,,,,,,,
TT_TU_MN009,662,201701141000.00,2.1,,,,,,,,
TT_TU_MN009,662,201701141100.00,2.5,,,,,,,,
TT_TU_MN009,662,201701141200.00,2.7,,,,,,,,
TT_TU_MN009,662,201701141300.00,2.5,,,,,,,,
TT_TU_MN009,662,201701141400.00,2.5,,,,,,,,
TT_TU_MN009,662,201701141500.00,2,,,,,,,,
TT_TU_MN009,662,201701141600.00,0.3,,,,,,,,
TT_TU_MN009,662,201701141700.00,0.7,,,,,,,,
TT_TU_MN009,662,201701141800.00,0.9,,,,,,,,
TT_TU_MN009,662,201701141900.00,0.8,,,,,,,,
TT_TU_MN009,662,201701142000.00,0.7,,,,,,,,
TT_TU_MN009,662,201701142100.00,0.8,,,,,,,,
